Age_Years,Mileage_km,Engine_CC,Owner_Count,Accident_History,Color_Popularity_Score,Local_Fuel_Price_Index,Service_Center_Visits,Resale_Price_USD
1,11450,1200,1,0,6.4,92.8,5,36426.02
12,87960,2000,1,0,1.6,109.2,1,24983.79
10,114722,1200,2,1,9.4,90.7,3,15630.78
7,73964,1200,2,0,9.4,88.5,1,25217.13
6,90351,1800,1,0,5.9,111.9,6,30856.12
13,138416,2000,2,0,6.5,83.2,4,19654.75
1,2283,2500,1,1,3.6,83.8,1,41901.55
11,128518,1200,3,0,1.6,78.3,3,15307.64
3,25945,1000,1,0,7.6,91.1,0,29241.08
1,6514,3000,1,1,1.9,92.7,0,45907.12
8,85817,1200,1,0,1.8,99.6,3,23575.66
15,152421,1200,1,0,3.8,85.8,4,10813.35
11,92485,1200,1,0,1.1,73.1,1,20432.15
12,119892,1800,1,1,4.9,112.0,5,20543.43
11,101859,2500,1,0,7.4,80.8,3,30142.93
12,106612,2000,1,0,8.2,115.4,4,24897.55
8,73984,2000,1,0,6.4,72.4,4,29461.98
2,26871,1200,1,0,8.6,93.6,3,32952.13
13,121574,1500,1,1,4.7,92.2,1,14530.81
7,106695,1500,1,0,8.6,109.7,2,24770.23
8,111301,1200,1,0,5.6,68.3,8,21431.05
5,47230,1200,1,1,3.0,114.6,3,24405.5
2,15235,1500,1,0,9.5,91.9,3,35321.78
14,156730,1200,2,0,3.5,95.2,6,12701.86
12,172194,1800,4,0,1.2,90.6,2,16344.51
10,125413,2000,3,0,3.2,62.2,5,25717.93
6,83017,1000,2,0,4.3,89.8,1,21371.7
13,151451,1500,2,0,4.2,75.8,3,17388.58
8,95929,2000,1,0,5.7,80.6,4,28668.32
7,58722,2000,2,0,8.9,98.9,3,31506.62
7,95358,2000,2,0,3.6,89.9,2,29417.71
3,17930,1500,3,0,5.7,65.6,2,32233.81
1,14507,2000,3,0,4.1,64.4,2,40218.42
8,117268,1200,1,1,8.4,71.1,1,19572.8
14,101905,1500,2,0,2.4,71.5,0,18085.76
1,18497,1200,3,0,1.9,96.5,1,31753.27
13,87874,1500,1,0,5.5,70.7,4,19861.52
13,180584,1500,3,1,7.0,112.9,3,9819.84
4,26478,1200,1,0,8.2,72.6,2,29216.09
10,148486,2000,4,0,6.3,65.5,3,21186.46
2,15028,1500,2,0,8.0,112.5,3,34329.93
12,182761,1200,1,0,4.5,77.7,5,14100.42
11,151090,1200,2,0,1.3,85.5,1,13830.31
5,61272,1500,1,0,2.0,117.5,0,30051.03
1,16049,1500,2,1,1.3,116.7,2,33992.24
15,206779,1500,2,0,4.0,102.9,1,12154.68
7,112172,1200,2,1,5.5,64.1,3,18175.62
14,124104,2000,3,1,4.2,95.6,5,15158.15
10,124753,2500,1,1,6.0,119.3,5,27699.97
12,85524,1500,1,0,5.3,116.8,4,18865.75
12,151394,1800,1,0,7.1,66.4,4,21686.43
3,15616,2500,1,0,7.0,83.8,1,43255.07
5,56976,3000,1,0,3.9,78.9,1,45434.25
7,78602,1800,1,1,4.1,67.8,2,24958.64
7,75096,2500,1,0,6.3,101.7,4,36997.02
0,500,2500,1,0,6.4,76.4,3,47487.04
8,108449,2000,3,0,3.8,80.7,3,26921.84
2,35514,1500,1,1,4.0,65.4,1,30269.03
11,119458,1000,3,0,7.2,89.9,4,14810.56
10,121615,1000,1,0,6.8,69.5,5,17735.87
14,213444,1500,1,1,2.2,85.9,0,11301.64
11,79474,1500,2,1,5.0,68.6,2,19180.94
5,35879,1500,1,0,9.0,117.2,3,30700.93
